mouth open,eyes squinting,big eyes,furry,menacing,excited,whiskers,pointy ears,big ears,big nose,old age,big animal,suspicious face,spotted,x,y,image_filename,image_url
0.13807613,0.2222712,0.20524706,0.176912,0.19445097,0.1370411,0.22672199,0.22621483,0.15894903,0.20127773,0.16819806,0.13441412,0.19699945,0.18382601,14.187705,7.1284246,animal-69.jpg,http://localhost:9001/static/animals5_remote/images/animal-69.jpg
0.17251432,0.23956852,0.19861513,0.2356642,0.22265439,0.18508749,0.22220631,0.2794385,0.23545088,0.21261221,0.20925546,0.19279443,0.24778646,0.24092443,3.2348378,4.979707,animal-70.jpg,http://localhost:9001/static/animals5_remote/images/animal-70.jpg
0.14872152,0.25920525,0.23198648,0.21225215,0.19676419,0.18964933,0.2462076,0.24256055,0.16944169,0.19697247,0.17663102,0.14241907,0.2583296,0.2001587,10.541069,8.357621,animal-71.jpg,http://localhost:9001/static/animals5_remote/images/animal-71.jpg
0.13522011,0.2486061,0.2214738,0.20036681,0.21176739,0.1703955,0.25344667,0.2284544,0.14983201,0.18662502,0.20710678,0.15610895,0.21786137,0.21430077,11.583325,8.90623,animal-72.jpg,http://localhost:9001/static/animals5_remote/images/animal-72.jpg
0.17434277,0.26188543,0.21994978,0.2242341,0.21923326,0.17264025,0.21152382,0.23242067,0.16921508,0.18318169,0.22266929,0.20049731,0.2446289,0.21490283,1.2353021,2.3035223,animal-73.jpg,http://localhost:9001/static/animals5_remote/images/animal-73.jpg
0.16799854,0.19110394,0.17085229,0.20072694,0.19343539,0.20283853,0.15794916,0.21888976,0.17002404,0.19187303,0.19605005,0.20387633,0.16586675,0.17557417,4.342341,-0.84665006,animal-74.jpg,http://localhost:9001/static/animals5_remote/images/animal-74.jpg
0.17238446,0.26277933,0.21217291,0.2046013,0.20096095,0.16177286,0.2791176,0.24080609,0.17238243,0.21123235,0.1841253,0.14820173,0.229935,0.213632,10.450832,8.014111,animal-75.jpg,http://localhost:9001/static/animals5_remote/images/animal-75.jpg
0.17328405,0.24831142,0.20780276,0.2225201,0.22494555,0.1818045,0.21588182,0.22273415,0.17408307,0.19322194,0.21793985,0.22253446,0.23613565,0.19828342,1.0903531,2.2507226,animal-76.jpg,http://localhost:9001/static/animals5_remote/images/animal-76.jpg
0.13842039,0.21029498,0.20279348,0.1730807,0.21072681,0.16229858,0.15566619,0.2224999,0.19162665,0.18799298,0.187434,0.18272126,0.1840414,0.1909384,5.6774654,-1.0179888,animal-77.jpg,http://localhost:9001/static/animals5_remote/images/animal-77.jpg
0.14803098,0.19935222,0.18314491,0.1691314,0.18840842,0.15494926,0.15181449,0.18933289,0.15266663,0.18413448,0.22934358,0.19411962,0.18267049,0.18810852,3.6180766,-2.2870069,animal-78.jpg,http://localhost:9001/static/animals5_remote/images/animal-78.jpg
0.15219174,0.24395327,0.20345195,0.23546368,0.21588917,0.19609912,0.23645806,0.23819165,0.18877931,0.21392596,0.21010633,0.19901323,0.22560082,0.23445146,0.74387527,10.046983,animal-79.jpg,http://localhost:9001/static/animals5_remote/images/animal-79.jpg
0.11435834,0.1901433,0.20104162,0.17646855,0.18420891,0.14739153,0.14191686,0.1998053,0.1482256,0.15017474,0.1598366,0.13822457,0.16665232,0.147734,7.25045,-3.060964,animal-80.jpg,http://localhost:9001/static/animals5_remote/images/animal-80.jpg
0.12764895,0.20424187,0.21265145,0.13792007,0.16424493,0.16527718,0.14277096,0.22848918,0.17886023,0.14910911,0.1986103,0.10350573,0.16269404,0.1960069,7.518574,-2.2445426,animal-81.jpg,http://localhost:9001/static/animals5_remote/images/animal-81.jpg
0.14552279,0.23901929,0.21638137,0.18370356,0.19453578,0.16140392,0.24071376,0.24749045,0.16860104,0.1757764,0.17672439,0.11183601,0.17735626,0.20055099,13.750824,6.312636,animal-82.jpg,http://localhost:9001/static/animals5_remote/images/animal-82.jpg
0.12688749,0.2451769,0.21300288,0.16967918,0.17976515,0.18280597,0.25584963,0.24772723,0.15342318,0.16623296,0.16595972,0.1309685,0.20787102,0.19331123,13.445341,6.575911,animal-83.jpg,http://localhost:9001/static/animals5_remote/images/animal-83.jpg
